  INFO root [2018-10-30 00:38:56,863] - 
  INFO root [2018-10-30 00:38:57,067] - -----------------------------------------------------------------------------------------


  INFO root [2018-10-30 00:39:00,496] - Resmgr::initialize: KBE_ROOT=E:/kbengine/
  INFO root [2018-10-30 00:39:00,497] - Resmgr::initialize: KBE_RES_PATH=E:/kbengine/kbe/res/;E:/kbengine/assets/;E:/kbengine/assets/scripts/;E:/kbengine/assets/res/
  INFO root [2018-10-30 00:39:00,498] - Resmgr::initialize: KBE_BIN_PATH=E:/kbengine/kbe/bin/server/
  INFO root [2018-10-30 00:39:00,841] - NetworkInterface::initialize(INTERNAL): bound to all interfaces with default route interface on 192.168.0.107 ( 192.168.0.107:49539 )
  INFO root [2018-10-30 00:39:00,878] - NetworkInterface::initialize(INTERNAL): address 192.168.0.107:49539, SOMAXCONN=5.
  INFO root [2018-10-30 00:39:00,879] - server-configs:
  INFO root [2018-10-30 00:39:00,879] - 	internalAddr : 192.168.0.107:49539
  INFO root [2018-10-30 00:39:00,879] - 	componentID : 5000
  INFO root [2018-10-30 00:39:04,721] - ---- baseappmgr Version: 2.0.0. ScriptVersion: 0.1.0. Protocol: EE09E8FDB2CCFCF3A31D35776E8954CE. Config: Debug X86. Built: 15:53:05 Apr 29 2018. AppID: 5000. UID: 15852. PID: 1640 ----
  INFO root [2018-10-30 00:39:04,722] - Server : Intel(R) Xeon(R) CPU E3-1230 v3 @ 3.30GHz with 4194303kB RAM
  INFO root [2018-10-30 00:39:04,751] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2018-10-30 00:39:04,770] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
  INFO root [2018-10-30 00:39:05,183] - ---- baseappmgr is running ----
 DEBUG root [2018-10-30 00:39:05,207] - Components::process(): Request for the process of identity...
  WARN root [2018-10-30 00:39:12,759] - e:\kbengine\kbe\src\lib\network\event_dispatcher.cpp:153: Profile callSystemTimers took 0.11 seconds
  INFO root [2018-10-30 00:39:13,771] - Components::findComponents: find logger(1)...
  WARN root [2018-10-30 00:39:14,898] - Components::findComponents: not found logger!
  INFO root [2018-10-30 00:39:15,906] - Components::findComponents: find dbmgr(1)...
  INFO root [2018-10-30 00:39:17,991] - Components::findComponents: find dbmgr(2)...
  INFO root [2018-10-30 00:39:20,091] - Components::findComponents: find dbmgr(3)...
  INFO root [2018-10-30 00:39:22,206] - Components::findComponents: find dbmgr(4)...
  INFO root [2018-10-30 00:39:24,306] - Components::findComponents: find dbmgr(5)...
  INFO root [2018-10-30 00:39:26,330] - Components::findComponents: find dbmgr(6)...
  INFO root [2018-10-30 00:39:28,431] - Components::findComponents: find dbmgr(7)...
  INFO root [2018-10-30 00:39:30,451] - Components::findComponents: find dbmgr(8)...
  INFO root [2018-10-30 00:39:32,551] - Components::findComponents: find dbmgr(9)...
  INFO root [2018-10-30 00:39:34,571] - Components::findComponents: find dbmgr(10)...
  INFO root [2018-10-30 00:39:36,671] - Components::findComponents: find dbmgr(11)...
  INFO root [2018-10-30 00:39:38,791] - Components::findComponents: find dbmgr(12)...
  INFO root [2018-10-30 00:39:40,891] - Components::findComponents: find dbmgr(13)...
  INFO root [2018-10-30 00:39:42,991] - Components::findComponents: find dbmgr(14)...
  INFO root [2018-10-30 00:39:45,006] - Components::findComponents: find dbmgr(15)...
  INFO root [2018-10-30 00:39:47,111] - Components::findComponents: find dbmgr(16)...
  WARN root [2018-10-30 00:39:49,131] - Components::findComponents: find dbmgr(17)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:39:51,151] - Components::findComponents: find dbmgr(18)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:39:53,271] - Components::findComponents: find dbmgr(19)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:39:55,391] - Components::findComponents: find dbmgr(20)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:39:57,506] - Components::findComponents: find dbmgr(21)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:39:59,611] - Components::findComponents: find dbmgr(22)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:01,631] - Components::findComponents: find dbmgr(23)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:03,651] - Components::findComponents: find dbmgr(24)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:05,671] - Components::findComponents: find dbmgr(25)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:07,691] - Components::findComponents: find dbmgr(26)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:09,706] - Components::findComponents: find dbmgr(27)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:11,731] - Components::findComponents: find dbmgr(28)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:13,751] - Components::findComponents: find dbmgr(29)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:15,771] - Components::findComponents: find dbmgr(30)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:17,806] - Components::findComponents: find dbmgr(31)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:19,831] - Components::findComponents: find dbmgr(32)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:21,952] - Components::findComponents: find dbmgr(33)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:24,071] - Components::findComponents: find dbmgr(34)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:26,191] - Components::findComponents: find dbmgr(35)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:28,207] - Components::findComponents: find dbmgr(36)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:30,231] - Components::findComponents: find dbmgr(37)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:32,251] - Components::findComponents: find dbmgr(38)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:34,271] - Components::findComponents: find dbmgr(39)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:36,291] - Components::findComponents: find dbmgr(40)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:38,312] - Components::findComponents: find dbmgr(41)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:40,332] - Components::findComponents: find dbmgr(42)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:42,352] - Components::findComponents: find dbmgr(43)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:44,371] - Components::findComponents: find dbmgr(44)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:46,391] - Components::findComponents: find dbmgr(45)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:48,411] - Components::findComponents: find dbmgr(46)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:50,451] - Components::findComponents: find dbmgr(47)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:52,471] - Components::findComponents: find dbmgr(48)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:54,491] - Components::findComponents: find dbmgr(49)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:56,512] - Components::findComponents: find dbmgr(50)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:58,552] - Components::findComponents: find dbmgr(51)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:41:00,572] - Components::findComponents: find dbmgr(52)...
delay time is too long, please check the dbmgr logs!
  INFO root [2018-10-30 00:41:01,640] - 
  INFO root [2018-10-30 00:41:01,640] - -----------------------------------------------------------------------------------------


  INFO root [2018-10-30 00:41:01,641] - Resmgr::initialize: KBE_ROOT=E:/kbengine/
  INFO root [2018-10-30 00:41:01,641] - Resmgr::initialize: KBE_RES_PATH=E:/kbengine/kbe/res/;E:/kbengine/assets/;E:/kbengine/assets/scripts/;E:/kbengine/assets/res/
  INFO root [2018-10-30 00:41:01,641] - Resmgr::initialize: KBE_BIN_PATH=E:/kbengine/kbe/bin/server/
  INFO root [2018-10-30 00:41:01,655] - NetworkInterface::initialize(INTERNAL): bound to all interfaces with default route interface on 192.168.0.107 ( 192.168.0.107:49612 )
  INFO root [2018-10-30 00:41:01,655] - NetworkInterface::initialize(INTERNAL): address 192.168.0.107:49612, SOMAXCONN=5.
  INFO root [2018-10-30 00:41:01,656] - server-configs:
  INFO root [2018-10-30 00:41:01,656] - 	internalAddr : 192.168.0.107:49612
  INFO root [2018-10-30 00:41:01,656] - 	componentID : 5000
  INFO root [2018-10-30 00:41:03,166] - ---- baseappmgr Version: 2.0.0. ScriptVersion: 0.1.0. Protocol: EE09E8FDB2CCFCF3A31D35776E8954CE. Config: Debug X86. Built: 15:53:05 Apr 29 2018. AppID: 5000. UID: 16348. PID: 7136 ----
  INFO root [2018-10-30 00:41:03,167] - Server : Intel(R) Xeon(R) CPU E3-1230 v3 @ 3.30GHz with 4194303kB RAM
  INFO root [2018-10-30 00:41:03,168] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2018-10-30 00:41:03,169] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
  INFO root [2018-10-30 00:41:03,511] - ---- baseappmgr is running ----
 DEBUG root [2018-10-30 00:41:03,511] - Components::process(): Request for the process of identity...
  INFO root [2018-10-30 00:41:10,629] - Components::findComponents: find logger(1)...
  INFO root [2018-10-30 00:41:10,633] - Components::findComponents: found logger, addr:192.168.0.107:49610
  INFO root [2018-10-30 00:41:10,634] - Components::addComponent: reset orderLog, uid=16348!
  INFO root [2018-10-30 00:41:10,634] - Components::addComponent[logger], uid=16348, componentID=2000, globalorderid=1, grouporderid=1, totalcount=1
  INFO root [2018-10-30 00:41:10,672] - Components::findComponents: find dbmgr(2)...
  WARN root [2018-10-30 00:41:11,738] - Forwarding logs to logger[192.168.0.107:49610/0/0/0]...
 ERROR root [2018-10-30 00:42:58,306] - Components::removeComponentByChannel: logger : 2000, Abnormal exit! errorno=10054
  INFO root [2018-10-30 00:42:58,311] - The following logs sent to logger failed:
  WARN root [2018-10-30 00:42:58,311] - ==> [2018-10-30 00:42:58 305] TCPPacketReceiver::processPendingEvents(192.168.0.107:49610): Throwing REASON_GENERAL_NETWORK - WSAECONNRESET
 ERROR root [2018-10-30 00:42:58,311] - ==> [2018-10-30 00:42:58 306] Components::removeComponentByChannel: logger : 2000, Abnormal exit! errorno=10054
  INFO root [2018-10-30 00:43:12,366] - 
  INFO root [2018-10-30 00:43:12,369] - -----------------------------------------------------------------------------------------


  INFO root [2018-10-30 00:43:12,370] - Resmgr::initialize: KBE_ROOT=E:/kbengine/
  INFO root [2018-10-30 00:43:12,370] - Resmgr::initialize: KBE_RES_PATH=E:/kbengine/kbe/res/;E:/kbengine/assets/;E:/kbengine/assets/scripts/;E:/kbengine/assets/res/
  INFO root [2018-10-30 00:43:12,370] - Resmgr::initialize: KBE_BIN_PATH=E:/kbengine/kbe/bin/server/
  INFO root [2018-10-30 00:43:12,380] - NetworkInterface::initialize(INTERNAL): bound to all interfaces with default route interface on 192.168.0.107 ( 192.168.0.107:49654 )
  INFO root [2018-10-30 00:43:12,380] - NetworkInterface::initialize(INTERNAL): address 192.168.0.107:49654, SOMAXCONN=5.
  INFO root [2018-10-30 00:43:12,381] - server-configs:
  INFO root [2018-10-30 00:43:12,381] - 	internalAddr : 192.168.0.107:49654
  INFO root [2018-10-30 00:43:12,381] - 	componentID : 5000
  INFO root [2018-10-30 00:43:13,884] - ---- baseappmgr Version: 2.0.0. ScriptVersion: 0.1.0. Protocol: EE09E8FDB2CCFCF3A31D35776E8954CE. Config: Debug X86. Built: 15:53:05 Apr 29 2018. AppID: 5000. UID: 16776. PID: 6264 ----
  INFO root [2018-10-30 00:43:13,885] - Server : Intel(R) Xeon(R) CPU E3-1230 v3 @ 3.30GHz with 4194303kB RAM
  INFO root [2018-10-30 00:43:13,885] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2018-10-30 00:43:13,885] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
  INFO root [2018-10-30 00:43:14,231] - ---- baseappmgr is running ----
 DEBUG root [2018-10-30 00:43:14,231] - Components::process(): Request for the process of identity...
  INFO root [2018-10-30 00:43:21,326] - Components::findComponents: find logger(1)...
  INFO root [2018-10-30 00:43:21,427] - Components::findComponents: found logger, addr:192.168.0.107:49653
  INFO root [2018-10-30 00:43:21,427] - Components::addComponent: reset orderLog, uid=16776!
  INFO root [2018-10-30 00:43:21,428] - Components::addComponent[logger], uid=16776, componentID=2000, globalorderid=1, grouporderid=1, totalcount=1
  INFO root [2018-10-30 00:43:21,430] - Components::findComponents: find dbmgr(2)...
  INFO root [2018-10-30 00:43:21,531] - Components::findComponents: found dbmgr, addr:192.168.0.107:49658
  INFO root [2018-10-30 00:43:21,532] - Components::addComponent: reset orderLog, uid=16776!
  INFO root [2018-10-30 00:43:21,532] - Components::addComponent[dbmgr], uid=16776, componentID=4000, globalorderid=1, grouporderid=1, totalcount=1
  INFO root [2018-10-30 00:43:21,533] - Components::findComponents: found dbmgr, addr:192.168.0.107:49658
  WARN root [2018-10-30 00:43:22,533] - Forwarding logs to logger[192.168.0.107:49653/0/0/0]...
 ERROR root [2018-10-30 00:48:33,380] - Components::removeComponentByChannel: logger : 2000, Abnormal exit! errorno=10054
  INFO root [2018-10-30 00:48:33,382] - The following logs sent to logger failed:
  WARN root [2018-10-30 00:48:33,382] - ==> [2018-10-30 00:48:33 379] TCPPacketReceiver::processPendingEvents(192.168.0.107:49653): Throwing REASON_GENERAL_NETWORK - WSAECONNRESET
 ERROR root [2018-10-30 00:48:33,382] - ==> [2018-10-30 00:48:33 381] Components::removeComponentByChannel: logger : 2000, Abnormal exit! errorno=10054
  WARN root [2018-10-30 00:48:33,427] - TCPPacketReceiver::processPendingEvents(192.168.0.107:49658): Throwing REASON_GENERAL_NETWORK - WSAECONNRESET
 ERROR root [2018-10-30 00:48:33,428] - Components::removeComponentByChannel: dbmgr : 4000, Abnormal exit! errorno=10054
  INFO root [2018-10-30 00:48:33,431] - Shutdowner::onShutdownBegin: shutting down(period=0, tickPeriod=1)
  INFO root [2018-10-30 00:48:33,432] - Shutdowner::onShutdown: shutting down
  INFO root [2018-10-30 00:48:33,432] - Shutdowner::onShutdownEnd: shutting down
  INFO root [2018-10-30 00:48:34,524] - 
  INFO root [2018-10-30 00:48:34,524] - -----------------------------------------------------------------------------------------


  INFO root [2018-10-30 00:48:34,524] - Resmgr::initialize: KBE_ROOT=E:/kbengine/
  INFO root [2018-10-30 00:48:34,525] - Resmgr::initialize: KBE_RES_PATH=E:/kbengine/kbe/res/;E:/kbengine/assets/;E:/kbengine/assets/scripts/;E:/kbengine/assets/res/
  INFO root [2018-10-30 00:48:34,525] - Resmgr::initialize: KBE_BIN_PATH=E:/kbengine/kbe/bin/server/
  INFO root [2018-10-30 00:48:34,530] - NetworkInterface::initialize(INTERNAL): bound to all interfaces with default route interface on 192.168.0.107 ( 192.168.0.107:49756 )
  INFO root [2018-10-30 00:48:34,530] - NetworkInterface::initialize(INTERNAL): address 192.168.0.107:49756, SOMAXCONN=5.
  INFO root [2018-10-30 00:48:34,530] - server-configs:
  INFO root [2018-10-30 00:48:34,530] - 	internalAddr : 192.168.0.107:49756
  INFO root [2018-10-30 00:48:34,530] - 	componentID : 5000
  INFO root [2018-10-30 00:48:36,047] - ---- baseappmgr Version: 2.0.0. ScriptVersion: 0.1.0. Protocol: EE09E8FDB2CCFCF3A31D35776E8954CE. Config: Debug X86. Built: 15:53:05 Apr 29 2018. AppID: 5000. UID: 17827. PID: 3500 ----
  INFO root [2018-10-30 00:48:36,049] - Server : Intel(R) Xeon(R) CPU E3-1230 v3 @ 3.30GHz with 4194303kB RAM
  INFO root [2018-10-30 00:48:36,050] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2018-10-30 00:48:36,051] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
  INFO root [2018-10-30 00:48:36,396] - ---- baseappmgr is running ----
 DEBUG root [2018-10-30 00:48:36,396] - Components::process(): Request for the process of identity...
  INFO root [2018-10-30 00:48:43,491] - Components::findComponents: find logger(1)...
  INFO root [2018-10-30 00:48:43,528] - Components::findComponents: found logger, addr:192.168.0.107:49755
  INFO root [2018-10-30 00:48:43,528] - Components::addComponent: reset orderLog, uid=17827!
  INFO root [2018-10-30 00:48:43,529] - Components::addComponent[logger], uid=17827, componentID=2000, globalorderid=1, grouporderid=1, totalcount=1
  INFO root [2018-10-30 00:48:43,531] - Components::findComponents: find dbmgr(2)...
