  INFO root [2018-10-30 00:38:51,856] - 
  INFO root [2018-10-30 00:38:51,857] - -----------------------------------------------------------------------------------------


  INFO root [2018-10-30 00:38:52,594] - Resmgr::initialize: KBE_ROOT=E:/kbengine/
  INFO root [2018-10-30 00:38:52,595] - Resmgr::initialize: KBE_RES_PATH=E:/kbengine/kbe/res/;E:/kbengine/assets/;E:/kbengine/assets/scripts/;E:/kbengine/assets/res/
  INFO root [2018-10-30 00:38:52,595] - Resmgr::initialize: KBE_BIN_PATH=E:/kbengine/kbe/bin/server/
  INFO root [2018-10-30 00:38:52,948] - NetworkInterface::initialize(INTERNAL): bound to all interfaces with default route interface on 192.168.0.107 ( 192.168.0.107:49373 )
  INFO root [2018-10-30 00:38:52,986] - NetworkInterface::initialize(INTERNAL): address 192.168.0.107:49373, SOMAXCONN=5.
  INFO root [2018-10-30 00:38:52,987] - server-configs:
  INFO root [2018-10-30 00:38:52,987] - 	internalAddr : 192.168.0.107:49373
  INFO root [2018-10-30 00:38:52,988] - 	componentID : 6000
  INFO root [2018-10-30 00:38:54,837] - ---- cellappmgr Version: 2.0.0. ScriptVersion: 0.1.0. Protocol: 52E8E19C86891AC3218081DFAA2FD187. Config: Debug X86. Built: 15:52:42 Apr 29 2018. AppID: 6000. UID: 15852. PID: 5436 ----
  INFO root [2018-10-30 00:38:54,838] - Server : Intel(R) Xeon(R) CPU E3-1230 v3 @ 3.30GHz with 4194303kB RAM
  INFO root [2018-10-30 00:38:55,551] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2018-10-30 00:38:55,554] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
  INFO root [2018-10-30 00:38:56,212] - ---- cellappmgr is running ----
 DEBUG root [2018-10-30 00:38:56,267] - Components::process(): Request for the process of identity...
  WARN root [2018-10-30 00:39:04,545] - e:\kbengine\kbe\src\lib\network\event_dispatcher.cpp:153: Profile callSystemTimers took 2.05 seconds
  INFO root [2018-10-30 00:39:05,556] - Components::findComponents: find logger(1)...
  WARN root [2018-10-30 00:39:06,649] - Components::findComponents: not found logger!
  INFO root [2018-10-30 00:39:07,656] - Components::findComponents: find dbmgr(1)...
  INFO root [2018-10-30 00:39:09,755] - Components::findComponents: find dbmgr(2)...
  INFO root [2018-10-30 00:39:11,876] - Components::findComponents: find dbmgr(3)...
  INFO root [2018-10-30 00:39:13,976] - Components::findComponents: find dbmgr(4)...
  INFO root [2018-10-30 00:39:16,076] - Components::findComponents: find dbmgr(5)...
  INFO root [2018-10-30 00:39:18,196] - Components::findComponents: find dbmgr(6)...
  INFO root [2018-10-30 00:39:20,296] - Components::findComponents: find dbmgr(7)...
  INFO root [2018-10-30 00:39:22,416] - Components::findComponents: find dbmgr(8)...
  INFO root [2018-10-30 00:39:24,516] - Components::findComponents: find dbmgr(9)...
  INFO root [2018-10-30 00:39:26,524] - Components::findComponents: find dbmgr(10)...
  INFO root [2018-10-30 00:39:28,537] - Components::findComponents: find dbmgr(11)...
  INFO root [2018-10-30 00:39:30,656] - Components::findComponents: find dbmgr(12)...
  INFO root [2018-10-30 00:39:32,756] - Components::findComponents: find dbmgr(13)...
  INFO root [2018-10-30 00:39:34,876] - Components::findComponents: find dbmgr(14)...
  INFO root [2018-10-30 00:39:36,976] - Components::findComponents: find dbmgr(15)...
  INFO root [2018-10-30 00:39:39,096] - Components::findComponents: find dbmgr(16)...
  WARN root [2018-10-30 00:39:41,196] - Components::findComponents: find dbmgr(17)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:39:43,296] - Components::findComponents: find dbmgr(18)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:39:45,417] - Components::findComponents: find dbmgr(19)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:39:47,517] - Components::findComponents: find dbmgr(20)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:39:49,625] - Components::findComponents: find dbmgr(21)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:39:51,656] - Components::findComponents: find dbmgr(22)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:39:53,776] - Components::findComponents: find dbmgr(23)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:39:55,896] - Components::findComponents: find dbmgr(24)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:39:58,016] - Components::findComponents: find dbmgr(25)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:00,116] - Components::findComponents: find dbmgr(26)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:02,136] - Components::findComponents: find dbmgr(27)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:04,157] - Components::findComponents: find dbmgr(28)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:06,177] - Components::findComponents: find dbmgr(29)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:08,197] - Components::findComponents: find dbmgr(30)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:10,216] - Components::findComponents: find dbmgr(31)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:12,236] - Components::findComponents: find dbmgr(32)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:14,256] - Components::findComponents: find dbmgr(33)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:16,296] - Components::findComponents: find dbmgr(34)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:18,416] - Components::findComponents: find dbmgr(35)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:20,526] - Components::findComponents: find dbmgr(36)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:22,557] - Components::findComponents: find dbmgr(37)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:24,677] - Components::findComponents: find dbmgr(38)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:26,797] - Components::findComponents: find dbmgr(39)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:28,816] - Components::findComponents: find dbmgr(40)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:30,836] - Components::findComponents: find dbmgr(41)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:32,856] - Components::findComponents: find dbmgr(42)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:34,896] - Components::findComponents: find dbmgr(43)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:37,016] - Components::findComponents: find dbmgr(44)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:39,126] - Components::findComponents: find dbmgr(45)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:41,157] - Components::findComponents: find dbmgr(46)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:43,257] - Components::findComponents: find dbmgr(47)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:45,297] - Components::findComponents: find dbmgr(48)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:47,417] - Components::findComponents: find dbmgr(49)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:49,425] - Components::findComponents: find dbmgr(50)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:51,456] - Components::findComponents: find dbmgr(51)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:53,476] - Components::findComponents: find dbmgr(52)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:55,517] - Components::findComponents: find dbmgr(53)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:57,526] - Components::findComponents: find dbmgr(54)...
delay time is too long, please check the dbmgr logs!
  WARN root [2018-10-30 00:40:59,557] - Components::findComponents: find dbmgr(55)...
delay time is too long, please check the dbmgr logs!
  INFO root [2018-10-30 00:41:01,641] - 
  INFO root [2018-10-30 00:41:01,641] - -----------------------------------------------------------------------------------------


  INFO root [2018-10-30 00:41:01,642] - Resmgr::initialize: KBE_ROOT=E:/kbengine/
  INFO root [2018-10-30 00:41:01,642] - Resmgr::initialize: KBE_RES_PATH=E:/kbengine/kbe/res/;E:/kbengine/assets/;E:/kbengine/assets/scripts/;E:/kbengine/assets/res/
  INFO root [2018-10-30 00:41:01,642] - Resmgr::initialize: KBE_BIN_PATH=E:/kbengine/kbe/bin/server/
  INFO root [2018-10-30 00:41:01,656] - NetworkInterface::initialize(INTERNAL): bound to all interfaces with default route interface on 192.168.0.107 ( 192.168.0.107:49613 )
  INFO root [2018-10-30 00:41:01,657] - NetworkInterface::initialize(INTERNAL): address 192.168.0.107:49613, SOMAXCONN=5.
  INFO root [2018-10-30 00:41:01,657] - server-configs:
  INFO root [2018-10-30 00:41:01,657] - 	internalAddr : 192.168.0.107:49613
  INFO root [2018-10-30 00:41:01,657] - 	componentID : 6000
  WARN root [2018-10-30 00:41:01,967] - BundleBroadcast::BundleBroadcast: Cannot bind to port 20654, errorno=10048
  INFO root [2018-10-30 00:41:01,970] - ---- cellappmgr Version: 2.0.0. ScriptVersion: 0.1.0. Protocol: 52E8E19C86891AC3218081DFAA2FD187. Config: Debug X86. Built: 15:52:42 Apr 29 2018. AppID: 6000. UID: 16348. PID: 5556 ----
  INFO root [2018-10-30 00:41:01,970] - Server : Intel(R) Xeon(R) CPU E3-1230 v3 @ 3.30GHz with 4194303kB RAM
  INFO root [2018-10-30 00:41:01,971] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2018-10-30 00:41:01,971] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
  INFO root [2018-10-30 00:41:02,300] - ---- cellappmgr is running ----
 DEBUG root [2018-10-30 00:41:02,300] - Components::process(): Request for the process of identity...
  INFO root [2018-10-30 00:41:09,391] - Components::findComponents: find logger(1)...
  INFO root [2018-10-30 00:41:09,416] - Components::findComponents: found logger, addr:192.168.0.107:49610
  INFO root [2018-10-30 00:41:09,416] - Components::addComponent: reset orderLog, uid=16348!
  INFO root [2018-10-30 00:41:09,417] - Components::addComponent[logger], uid=16348, componentID=2000, globalorderid=1, grouporderid=1, totalcount=1
  INFO root [2018-10-30 00:41:09,431] - Components::findComponents: find dbmgr(2)...
  WARN root [2018-10-30 00:41:10,521] - Forwarding logs to logger[192.168.0.107:49610/0/0/0]...
 ERROR root [2018-10-30 00:42:58,384] - Components::removeComponentByChannel: logger : 2000, Abnormal exit! errorno=10054
  INFO root [2018-10-30 00:42:58,386] - The following logs sent to logger failed:
  WARN root [2018-10-30 00:42:58,386] - ==> [2018-10-30 00:42:58 384] TCPPacketReceiver::processPendingEvents(192.168.0.107:49610): Throwing REASON_GENERAL_NETWORK - WSAECONNRESET
 ERROR root [2018-10-30 00:42:58,386] - ==> [2018-10-30 00:42:58 384] Components::removeComponentByChannel: logger : 2000, Abnormal exit! errorno=10054
  INFO root [2018-10-30 00:43:12,424] - 
  INFO root [2018-10-30 00:43:12,424] - -----------------------------------------------------------------------------------------


  INFO root [2018-10-30 00:43:12,425] - Resmgr::initialize: KBE_ROOT=E:/kbengine/
  INFO root [2018-10-30 00:43:12,425] - Resmgr::initialize: KBE_RES_PATH=E:/kbengine/kbe/res/;E:/kbengine/assets/;E:/kbengine/assets/scripts/;E:/kbengine/assets/res/
  INFO root [2018-10-30 00:43:12,425] - Resmgr::initialize: KBE_BIN_PATH=E:/kbengine/kbe/bin/server/
  INFO root [2018-10-30 00:43:12,427] - NetworkInterface::initialize(INTERNAL): bound to all interfaces with default route interface on 192.168.0.107 ( 192.168.0.107:49659 )
  INFO root [2018-10-30 00:43:12,427] - NetworkInterface::initialize(INTERNAL): address 192.168.0.107:49659, SOMAXCONN=5.
  INFO root [2018-10-30 00:43:12,427] - server-configs:
  INFO root [2018-10-30 00:43:12,427] - 	internalAddr : 192.168.0.107:49659
  INFO root [2018-10-30 00:43:12,427] - 	componentID : 6000
  WARN root [2018-10-30 00:43:12,748] - BundleBroadcast::BundleBroadcast: Cannot bind to port 20729, errorno=10048
  INFO root [2018-10-30 00:43:12,754] - ---- cellappmgr Version: 2.0.0. ScriptVersion: 0.1.0. Protocol: 52E8E19C86891AC3218081DFAA2FD187. Config: Debug X86. Built: 15:52:42 Apr 29 2018. AppID: 6000. UID: 16776. PID: 6628 ----
  INFO root [2018-10-30 00:43:12,754] - Server : Intel(R) Xeon(R) CPU E3-1230 v3 @ 3.30GHz with 4194303kB RAM
  INFO root [2018-10-30 00:43:12,754] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2018-10-30 00:43:12,754] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
  INFO root [2018-10-30 00:43:13,142] - ---- cellappmgr is running ----
 DEBUG root [2018-10-30 00:43:13,142] - Components::process(): Request for the process of identity...
  INFO root [2018-10-30 00:43:20,215] - Components::findComponents: find logger(1)...
  INFO root [2018-10-30 00:43:20,307] - Components::findComponents: found logger, addr:192.168.0.107:49653
  INFO root [2018-10-30 00:43:20,308] - Components::addComponent: reset orderLog, uid=16776!
  INFO root [2018-10-30 00:43:20,308] - Components::addComponent[logger], uid=16776, componentID=2000, globalorderid=1, grouporderid=1, totalcount=1
  INFO root [2018-10-30 00:43:20,310] - Components::findComponents: find dbmgr(2)...
  INFO root [2018-10-30 00:43:20,411] - Components::findComponents: found dbmgr, addr:192.168.0.107:49658
  INFO root [2018-10-30 00:43:20,412] - Components::addComponent: reset orderLog, uid=16776!
  INFO root [2018-10-30 00:43:20,412] - Components::addComponent[dbmgr], uid=16776, componentID=4000, globalorderid=1, grouporderid=1, totalcount=1
  INFO root [2018-10-30 00:43:20,413] - Components::findComponents: found dbmgr, addr:192.168.0.107:49658
  WARN root [2018-10-30 00:43:21,413] - Forwarding logs to logger[192.168.0.107:49653/0/0/0]...
 ERROR root [2018-10-30 00:48:33,380] - Components::removeComponentByChannel: logger : 2000, Abnormal exit! errorno=10054
  INFO root [2018-10-30 00:48:33,382] - The following logs sent to logger failed:
  WARN root [2018-10-30 00:48:33,382] - ==> [2018-10-30 00:48:33 379] TCPPacketReceiver::processPendingEvents(192.168.0.107:49653): Throwing REASON_GENERAL_NETWORK - WSAECONNRESET
 ERROR root [2018-10-30 00:48:33,382] - ==> [2018-10-30 00:48:33 380] Components::removeComponentByChannel: logger : 2000, Abnormal exit! errorno=10054
  WARN root [2018-10-30 00:48:33,427] - TCPPacketReceiver::processPendingEvents(192.168.0.107:49658): Throwing REASON_GENERAL_NETWORK - WSAECONNRESET
 ERROR root [2018-10-30 00:48:33,428] - Components::removeComponentByChannel: dbmgr : 4000, Abnormal exit! errorno=10054
  INFO root [2018-10-30 00:48:33,431] - Shutdowner::onShutdownBegin: shutting down(period=0, tickPeriod=1)
  INFO root [2018-10-30 00:48:33,432] - Shutdowner::onShutdown: shutting down
  INFO root [2018-10-30 00:48:33,432] - Shutdowner::onShutdownEnd: shutting down
 DEBUG root [2018-10-30 00:48:33,498] - ThreadPool::destroy(): starting size 2.
  INFO root [2018-10-30 00:48:34,547] - 
  INFO root [2018-10-30 00:48:34,547] - -----------------------------------------------------------------------------------------


  INFO root [2018-10-30 00:48:34,548] - Resmgr::initialize: KBE_ROOT=E:/kbengine/
  INFO root [2018-10-30 00:48:34,548] - Resmgr::initialize: KBE_RES_PATH=E:/kbengine/kbe/res/;E:/kbengine/assets/;E:/kbengine/assets/scripts/;E:/kbengine/assets/res/
  INFO root [2018-10-30 00:48:34,548] - Resmgr::initialize: KBE_BIN_PATH=E:/kbengine/kbe/bin/server/
  INFO root [2018-10-30 00:48:34,551] - NetworkInterface::initialize(INTERNAL): bound to all interfaces with default route interface on 192.168.0.107 ( 192.168.0.107:49760 )
  INFO root [2018-10-30 00:48:34,551] - NetworkInterface::initialize(INTERNAL): address 192.168.0.107:49760, SOMAXCONN=5.
  INFO root [2018-10-30 00:48:34,552] - server-configs:
  INFO root [2018-10-30 00:48:34,552] - 	internalAddr : 192.168.0.107:49760
  INFO root [2018-10-30 00:48:34,552] - 	componentID : 6000
  INFO root [2018-10-30 00:48:36,065] - ---- cellappmgr Version: 2.0.0. ScriptVersion: 0.1.0. Protocol: 52E8E19C86891AC3218081DFAA2FD187. Config: Debug X86. Built: 15:52:42 Apr 29 2018. AppID: 6000. UID: 17827. PID: 7504 ----
  INFO root [2018-10-30 00:48:36,066] - Server : Intel(R) Xeon(R) CPU E3-1230 v3 @ 3.30GHz with 4194303kB RAM
  INFO root [2018-10-30 00:48:36,067] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2018-10-30 00:48:36,068] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
  INFO root [2018-10-30 00:48:36,401] - ---- cellappmgr is running ----
 DEBUG root [2018-10-30 00:48:36,401] - Components::process(): Request for the process of identity...
  WARN root [2018-10-30 00:48:36,711] - BundleBroadcast::BundleBroadcast: Cannot bind to port 20325, errorno=10048
  INFO root [2018-10-30 00:48:43,828] - Components::findComponents: find logger(1)...
  INFO root [2018-10-30 00:48:43,835] - Components::findComponents: found logger, addr:192.168.0.107:49755
  INFO root [2018-10-30 00:48:43,835] - Components::addComponent: reset orderLog, uid=17827!
  INFO root [2018-10-30 00:48:43,835] - Components::addComponent[logger], uid=17827, componentID=2000, globalorderid=1, grouporderid=1, totalcount=1
  INFO root [2018-10-30 00:48:43,836] - Components::findComponents: find dbmgr(2)...
  INFO root [2018-10-30 00:48:43,939] - Components::findComponents: found dbmgr, addr:192.168.0.107:49758
  INFO root [2018-10-30 00:48:43,939] - Components::addComponent: reset orderLog, uid=17827!
  INFO root [2018-10-30 00:48:43,940] - Components::addComponent[dbmgr], uid=17827, componentID=4000, globalorderid=1, grouporderid=1, totalcount=1
  INFO root [2018-10-30 00:48:43,940] - Components::findComponents: found dbmgr, addr:192.168.0.107:49758
  WARN root [2018-10-30 00:48:44,941] - Forwarding logs to logger[192.168.0.107:49755/0/0/0]...
 ERROR root [2018-10-30 00:56:16,983] - Components::removeComponentByChannel: logger : 2000, Abnormal exit! errorno=10054
  INFO root [2018-10-30 00:56:16,985] - The following logs sent to logger failed:
  WARN root [2018-10-30 00:56:16,985] - ==> [2018-10-30 00:56:16 982] TCPPacketReceiver::processPendingEvents(192.168.0.107:49755): Throwing REASON_GENERAL_NETWORK - WSAECONNRESET
 ERROR root [2018-10-30 00:56:16,985] - ==> [2018-10-30 00:56:16 983] Components::removeComponentByChannel: logger : 2000, Abnormal exit! errorno=10054
  WARN root [2018-10-30 00:56:17,028] - TCPPacketReceiver::processPendingEvents(192.168.0.107:49758): Throwing REASON_GENERAL_NETWORK - WSAECONNRESET
 ERROR root [2018-10-30 00:56:17,029] - Components::removeComponentByChannel: dbmgr : 4000, Abnormal exit! errorno=10054
